city,date,averageMonthlyPrice
MONTPELLIER,2021-08-01,3803.57
MONTPELLIER,2021-09-01,3808.92
MONTPELLIER,2021-10-01,3814.09
MONTPELLIER,2021-11-01,3819.44
MONTPELLIER,2021-12-01,3824.61
MONTPELLIER,2022-01-01,3829.96
MONTPELLIER,2022-02-01,3835.31
MONTPELLIER,2022-03-01,3840.14
MONTPELLIER,2022-04-01,3845.48
MONTPELLIER,2022-05-01,3850.66
MONTPELLIER,2022-06-01,3856.0
MONTPELLIER,2022-07-01,3861.18
MONTPELLIER,2022-08-01,3866.53
MONTPELLIER,2022-09-01,3871.87
MONTPELLIER,2022-10-01,3877.05
MONTPELLIER,2022-11-01,3882.39
MONTPELLIER,2022-12-01,3887.57
NANTES,2014-01-01,2773.55
NANTES,2014-02-01,2786.82
NANTES,2014-03-01,2798.8
NANTES,2014-04-01,2812.07
NANTES,2014-05-01,2824.91
NANTES,2014-06-01,2838.18
NANTES,2014-07-01,2851.02
NANTES,2014-08-01,2864.29
NANTES,2014-09-01,2877.56
NANTES,2014-10-01,2890.4
NANTES,2014-11-01,2903.66
NANTES,2014-12-01,2916.5
NANTES,2015-01-01,2929.77
NANTES,2015-02-01,2943.04
NANTES,2015-03-01,2955.03
NANTES,2015-04-01,2968.29
NANTES,2015-05-01,2981.13
NANTES,2015-06-01,2994.4
NANTES,2015-07-01,3007.24
NANTES,2015-08-01,3020.51
NANTES,2015-09-01,3033.78
NANTES,2015-10-01,3046.62
NANTES,2015-11-01,3059.89
NANTES,2015-12-01,3072.73
NANTES,2016-01-01,3086.0
NANTES,2016-02-01,3099.26
NANTES,2016-03-01,3111.68
NANTES,2016-04-01,3124.94
NANTES,2016-05-01,3137.78
NANTES,2016-06-01,3151.05
NANTES,2016-07-01,3163.89
NANTES,2016-08-01,3177.16
NANTES,2016-09-01,3190.43
NANTES,2016-10-01,3203.27
NANTES,2016-11-01,3216.54
NANTES,2016-12-01,3229.38
NANTES,2017-01-01,3242.65
NANTES,2017-02-01,3255.91
NANTES,2017-03-01,3267.9
NANTES,2017-04-01,3281.17
NANTES,2017-05-01,3294.01
NANTES,2017-06-01,3307.28
NANTES,2017-07-01,3320.12
NANTES,2017-08-01,3333.38
NANTES,2017-09-01,3346.65
NANTES,2017-10-01,3359.49
NANTES,2017-11-01,3372.76
NANTES,2017-12-01,3385.6
NANTES,2018-01-01,3398.87
NANTES,2018-02-01,3412.14
NANTES,2018-03-01,3424.12
NANTES,2018-04-01,3437.39
NANTES,2018-05-01,3450.23
NANTES,2018-06-01,3463.5
NANTES,2018-07-01,3476.34
NANTES,2018-08-01,3489.61
NANTES,2018-09-01,3502.87
NANTES,2018-10-01,3515.71
NANTES,2018-11-01,3528.98
NANTES,2018-12-01,3541.82
NANTES,2019-01-01,3555.09
NANTES,2019-02-01,3568.36
NANTES,2019-03-01,3580.34
NANTES,2019-04-01,3593.61
NANTES,2019-05-01,3606.45
NANTES,2019-06-01,3619.72
NANTES,2019-07-01,3632.56
NANTES,2019-08-01,3645.83
NANTES,2019-09-01,3659.1
NANTES,2019-10-01,3671.94
NANTES,2019-11-01,3685.21
NANTES,2019-12-01,3698.05
NANTES,2020-01-01,3711.31
NANTES,2020-02-01,3724.58
NANTES,2020-03-01,3736.99
NANTES,2020-04-01,3750.26
NANTES,2020-05-01,3763.1
